"#client_address";"client_country";"lon";"lat";"client_provider";"mlabservername";"connect_time";"download_speed";"neubot_version";"platform";"remote_address";"test_name";"timestamp";"upload_speed";"latency";"uuid";"asnum";"region";"city";"hour";"month";"year";"weekday";"day";"filedate"
"75.145.125.61";"US";-104.984700;39.739200;"AS7922 Comcast Cable Communications, Inc.";"mlab1-mia01";0.065329;2546117.025861;"0.004010999";"linux2";"4.71.210.210";"bittorrent";1334018061;366718.905864;-1.000000;"d3080793-9920-4346-9c49-3a102587393e";7922;"CO";"Denver";0;4;2012;1;10;"20120410"
"71.146.8.97";"US";-122.411100;37.630500;"AS7018 AT&T Services, Inc.";"mlab1-mia01";0.089704;78800.225146;"0.004009999";"darwin";"4.71.210.210";"bittorrent";1334018078;38766.899604;-1.000000;"6053a574-de6c-4ab0-acb3-36701448d03e";7018;"CA";"San Bruno";0;4;2012;1;10;"20120410"
"69.144.10.64";"US";-108.454100;43.769800;"AS33588 Bresnan Communications, LLC.";"mlab1-mia01";0.068413;1310965.002826;"0.004010999";"win32";"4.71.210.210";"bittorrent";1334020517;219692.394153;-1.000000;"eacc891a-5915-4c63-a32a-7240664eaf5a";33588;"WY";"Thermopolis";1;4;2012;1;10;"20120410"
"97.104.195.203";"US";-81.433600;28.618500;"AS33363 BRIGHT HOUSE NETWORKS, LLC";"mlab1-mia01";0.048162;1032547.010593;"0.004010999";"win32";"4.71.210.210";"bittorrent";1334020610;123137.534893;-1.000000;"edf0b254-c56e-4b53-b4a5-13e379c20bc7";33363;"FL";"Orlando";1;4;2012;1;10;"20120410"
"174.63.81.148";"US";-71.105600;42.375100;"AS7922 Comcast Cable Communications, Inc.";"mlab1-mia01";0.067985;905172.751514;"0.004010999";"darwin";"4.71.210.210";"bittorrent";1334020625;380103.753728;-1.000000;"15eb85bd-e3cb-4d25-862c-2c4eba8ab47b";7922;"MA";"Cambridge";1;4;2012;1;10;"20120410"
"74.125.56.52";"AU";133.000000;-27.000000;"AS15169 Google Inc.";"mlab1-mia01";0.229611;202635.291628;"0.004010999";"darwin";"4.71.210.210";"speedtest";1334020652;264188.382805;0.229630;"51ae5a04-faa6-4380-9166-051987c8d648";15169;"";"";1;4;2012;1;10;"20120410"
"204.80.187.235";"US";-121.315300;44.058200;"AS11080 Yellowknife Wireless Company, LLC";"mlab1-mia01";0.131246;372673.205424;"0.004010999";"win32";"4.71.210.210";"speedtest";1334021297;242840.827593;0.108056;"9d82d0fe-0a01-438f-a7ec-de30d836411f";11080;"OR";"Bend";1;4;2012;1;10;"20120410"
"72.181.251.247";"US";-96.771500;32.833900;"AS11427 Time Warner Cable Internet LLC";"mlab1-mia01";0.418083;2523533.261470;"0.004010999";"darwin";"4.71.210.210";"speedtest";1334022624;96710.898803;0.481866;"ec56ca67-ca5b-4ee7-a615-8743ebac3e8a";11427;"TX";"Dallas";1;4;2012;1;10;"20120410"
"63.248.250.87";"US";-112.035700;42.187600;"AS23205 JAB Wireless, INC.";"mlab1-mia01";0.104213;227411.904028;"0.004010999";"win32";"4.71.210.210";"bittorrent";1334022823;111466.414443;-1.000000;"c1e555f4-58bd-4cbb-bf82-7a83dba95982";23205;"ID";"Clifton";1;4;2012;1;10;"20120410"
"64.17.69.151";"US";-104.287500;32.299500;"AS11788 Baja Broadband";"mlab1-mia01";0.103655;804214.095989;"0.004009999";"win32";"4.71.210.210";"speedtest";1334022866;116166.277533;0.109380;"4ce122d6-6898-448d-b8e4-be6e47736161";11788;"NM";"Carlsbad";1;4;2012;1;10;"20120410"
"67.221.97.88";"US";-79.884600;37.511500;"AS7795 LUMOS Networks, Inc.";"mlab1-mia01";0.070734;517301.980156;"0.004010999";"win32";"4.71.210.210";"speedtest";1334023399;76951.719074;0.070812;"42c1b031-7197-483c-a071-7a185c69056a";7795;"VA";"Fincastle";2;4;2012;1;10;"20120410"
"99.92.91.43";"US";-122.030700;37.353700;"AS7018 AT&T Services, Inc.";"mlab1-mia01";0.106687;901263.045013;"0.004010999";"darwin";"4.71.210.210";"bittorrent";1334025551;179548.691775;-1.000000;"13cf72ab-670c-4dc7-8fad-aa9a41f4355d";7018;"CA";"Sunnyvale";2;4;2012;1;10;"20120410"
"71.146.8.97";"US";-122.411100;37.630500;"AS7018 AT&T Services, Inc.";"mlab1-mia01";0.089914;77037.645767;"0.004009999";"darwin";"4.71.210.210";"speedtest";1334025551;18475.273545;0.099178;"6053a574-de6c-4ab0-acb3-36701448d03e";7018;"CA";"San Bruno";2;4;2012;1;10;"20120410"
"66.188.113.29";"US";-97.000000;38.000000;"AS20115 Charter Communications";"mlab1-mia01";0.077051;638042.006477;"0.004010999";"darwin";"4.71.210.210";"bittorrent";1334026061;368876.565080;-1.000000;"3f295a53-7a79-47cb-bd75-f79b53a6ae22";20115;"";"";2;4;2012;1;10;"20120410"
"24.24.223.229";"US";-118.404100;33.916400;"AS20001 Time Warner Cable Internet LLC";"mlab1-mia01";0.081380;585557.453260;"0.004010999";"linux2";"4.71.210.210";"speedtest";1334026365;118520.536348;0.095150;"36cfd7f8-0f92-42e9-be32-71c3f4d2fe09";20001;"CA";"El Segundo";2;4;2012;1;10;"20120410"
"72.181.251.247";"US";-96.771500;32.833900;"AS11427 Time Warner Cable Internet LLC";"mlab1-mia01";0.105588;1315876.605528;"0.004010999";"darwin";"4.71.210.210";"bittorrent";1334026901;79816.779969;-1.000000;"ec56ca67-ca5b-4ee7-a615-8743ebac3e8a";11427;"TX";"Dallas";3;4;2012;1;10;"20120410"
"76.21.0.74";"US";-122.104100;37.457600;"AS7922 Comcast Cable Communications, Inc.";"mlab1-mia01";0.107725;3085231.098840;"0.004010999";"darwin";"4.71.210.210";"speedtest";1334027974;272424.462079;0.125255;"0f7d671c-779f-4f63-8f54-ca28fcc35fd6";7922;"CA";"Palo Alto";3;4;2012;1;10;"20120410"
"50.83.240.108";"US";-95.977900;45.232200;"AS30036 Mediacom Communications Corp";"mlab1-mia01";0.061112;1430362.131087;"0.004010999";"darwin";"4.71.210.210";"bittorrent";1334028459;325819.190470;-1.000000;"43af2f72-3dc4-4824-9ff7-faa06a3cb206";30036;"MN";"Appleton";3;4;2012;1;10;"20120410"
"166.248.36.159";"US";-97.000000;38.000000;"AS22394 Cellco Partnership DBA Verizon Wireless";"mlab1-mia01";0.162981;299825.878527;"0.004010999";"win32";"4.71.210.210";"bittorrent";1334028644;102186.790277;-1.000000;"8be09009-73b9-44af-8a03-4900f336debd";22394;"";"";3;4;2012;1;10;"20120410"
"74.235.193.106";"US";-81.433600;28.618500;"AS6389 BellSouth.net Inc.";"mlab1-mia01";0.061906;514755.958073;"0.004010999";"win32";"4.71.210.210";"speedtest";1334028890;34114.791349;0.063598;"6541d733-c224-4fad-8bcf-1366aca01c50";6389;"FL";"Orlando";3;4;2012;1;10;"20120410"
"99.191.32.104";"US";-118.401500;34.406500;"AS7018 AT&T Services, Inc.";"mlab1-mia01";0.095740;63202.127583;"0.004010999";"win32";"4.71.210.210";"speedtest";1334029643;10813.048479;0.233154;"a5fd0124-c1ce-4ea6-9b35-ff0f15d13be6";7018;"CA";"Canyon Country";3;4;2012;1;10;"20120410"
"66.215.48.72";"US";-120.621400;35.256500;"AS20115 Charter Communications";"mlab1-mia01";0.087848;470905.264213;"0.004010999";"darwin";"4.71.210.210";"speedtest";1334030341;485360.816517;0.094075;"73423da3-3a82-4da6-82c8-876834de94df";20115;"CA";"San Luis Obispo";3;4;2012;1;10;"20120410"
"99.50.234.136";"US";-97.752800;30.400000;"AS7018 AT&T Services, Inc.";"mlab1-mia01";0.064624;937646.139892;"0.004010999";"win32";"4.71.210.210";"speedtest";1334031772;178627.147872;0.064924;"46277b5b-ddea-4b5f-9a0b-6b6bd0a0912f";7018;"TX";"Austin";4;4;2012;1;10;"20120410"
"173.55.233.118";"US";-118.880000;34.213300;"AS701 MCI Communications Services, Inc. d/b/a Verizon Business";"mlab1-mia01";0.077419;2592644.254900;"0.004010999";"darwin";"4.71.210.210";"speedtest";1334032698;1477338.308340;0.078155;"6240ede4-4770-4ab9-a1a5-5df49c84c463";701;"CA";"Thousand Oaks";4;4;2012;1;10;"20120410"
"74.103.162.36";"US";-75.114700;40.427800;"AS701 MCI Communications Services, Inc. d/b/a Verizon Business";"mlab1-mia01";0.038655;1912670.996841;"0.004010999";"darwin";"4.71.210.210";"bittorrent";1334034483;664021.142248;-1.000000;"4eec0d76-fa70-4b4c-91f9-8cb1b74b0682";701;"PA";"Pipersville";5;4;2012;1;10;"20120410"
"66.31.47.174";"US";-71.092500;42.390800;"AS7922 Comcast Cable Communications, Inc.";"mlab1-mia01";0.057146;4841140.616621;"0.004010999";"linux2";"4.71.210.210";"bittorrent";1334034938;1660230.967133;-1.000000;"48c00a79-6f10-4b0e-ae8e-4a1ad2bb2ae3";7922;"MA";"Somerville";5;4;2012;1;10;"20120410"
"74.235.193.106";"US";-81.433600;28.618500;"AS6389 BellSouth.net Inc.";"mlab1-mia01";0.062303;465032.591618;"0.004010999";"win32";"4.71.210.210";"bittorrent";1334036017;19803.637628;-1.000000;"6541d733-c224-4fad-8bcf-1366aca01c50";6389;"FL";"Orlando";5;4;2012;1;10;"20120410"
"74.85.240.37";"US";-122.676200;45.523400;"AS32869 Silver Star Telecom, LLC";"mlab1-mia01";0.113614;933311.407421;"0.004010999";"darwin";"4.71.210.210";"bittorrent";1334036322;1267970.588460;-1.000000;"619f12e6-7e7a-4475-96aa-abb7e35e6c27";32869;"OR";"Portland";5;4;2012;1;10;"20120410"
"50.83.240.108";"US";-95.977900;45.232200;"AS30036 Mediacom Communications Corp";"mlab1-mia01";0.060812;1309514.981780;"0.004010999";"darwin";"4.71.210.210";"speedtest";1334036610;318959.034721;0.063337;"43af2f72-3dc4-4824-9ff7-faa06a3cb206";30036;"MN";"Appleton";5;4;2012;1;10;"20120410"
"50.12.211.162";"US";-93.263800;44.980000;"AS16586 CLEARWIRE - CLEAR WIRELESS LLC";"mlab1-mia01";0.109279;66145.366574;"0.004010999";"darwin";"4.71.210.210";"bittorrent";1334039178;124404.101548;-1.000000;"3955a411-3e83-4a8e-aa8e-165233e306e9";16586;"MN";"Minneapolis";6;4;2012;1;10;"20120410"
"199.101.226.225";"US";-111.904700;40.349100;"AS23205 JAB Wireless, INC.";"mlab1-mia01";0.095664;206103.756888;"0.004009999";"linux2";"4.71.210.210";"speedtest";1334039452;302811.966820;0.099566;"8bdb5789-dd76-459c-8bee-5bf6c8933d1c";23205;"UT";"Saratoga Springs";6;4;2012;1;10;"20120410"
"76.10.12.242";"US";-88.242600;40.112500;"AS46925 PAVLOV MEDIA INC";"mlab1-mia01";0.122487;512066.589368;"0.004010999";"win32";"4.71.210.210";"speedtest";1334039608;458058.207083;0.132235;"b2c93218-2fa2-4a04-be8b-f4553cb22e1a";46925;"IL";"Champaign";6;4;2012;1;10;"20120410"
