"#client_address";"client_country";"lon";"lat";"client_provider";"mlabservername";"connect_time";"download_speed";"neubot_version";"platform";"remote_address";"test_name";"timestamp";"upload_speed";"latency";"uuid";"asnum";"region";"city";"hour";"month";"year";"weekday";"day";"filedate"
"66.214.21.1";"US";-118.121200;33.793400;"AS20115 Charter Communications";"mlab1-lga02";0.093574;2136895.037440;"0.004010999";"win32";"38.106.70.144";"speedtest";1334880739;482495.009609;0.095772;"4f34c3a3-5095-4fd0-8767-9bc123e01df6";20115;"CA";"Long Beach";0;4;2012;4;20;"20120420"
"173.246.102.187";"US";-76.612200;39.290400;"AS29169 Gandi SAS";"mlab1-lga02";0.009837;7276163.580882;"0.004010999";"linux2";"38.106.70.144";"bittorrent";1334881290;670046.657823;-1.000000;"a57cd6aa-6b9a-40e3-ae4c-0685546dd104";29169;"MD";"Baltimore";0;4;2012;4;20;"20120420"
"108.20.233.197";"US";-71.259000;42.403000;"AS701 MCI Communications Services, Inc. d/b/a Verizon Business";"mlab1-lga02";0.017017;2518617.155771;"0.004010999";"win32";"38.106.70.144";"bittorrent";1334881448;3208294.990095;-1.000000;"ecca6a63-f2be-4812-bd3f-1ac690ab31cd";701;"MA";"Waltham";0;4;2012;4;20;"20120420"
"68.99.127.7";"US";-119.698200;34.420800;"AS22773 Cox Communications Inc.";"mlab1-lga02";0.152668;948933.081672;"0.004010999";"linux2";"38.106.70.144";"bittorrent";1334881942;460128.107086;-1.000000;"18d20aee-ca62-4c5f-94a8-1fcb64ede1d0";22773;"CA";"Santa Barbara";0;4;2012;4;20;"20120420"
"174.70.145.59";"US";-97.614200;38.852200;"AS22773 Cox Communications Inc.";"mlab1-lga02";0.064390;2464434.822040;"0.004010999";"win32";"38.106.70.144";"speedtest";1334882038;723309.262694;0.066470;"d828dae5-237b-450a-804d-da798cb67916";22773;"KS";"Salina";0;4;2012;4;20;"20120420"
"108.20.233.197";"US";-71.259000;42.403000;"AS701 MCI Communications Services, Inc. d/b/a Verizon Business";"mlab1-lga02";0.018952;3024114.762650;"0.004010999";"win32";"38.106.70.144";"speedtest";1334882911;3210144.662000;0.019597;"ecca6a63-f2be-4812-bd3f-1ac690ab31cd";701;"MA";"Waltham";0;4;2012;4;20;"20120420"
"99.27.132.203";"US";-122.036300;37.368800;"AS7132 AS for SBIS-AS";"mlab1-lga02";0.085338;401383.720023;"0.004010999";"linux2";"38.106.70.144";"speedtest";1334883489;78394.790826;0.088273;"d0271e0a-854f-4f73-b087-7be4c60e4f8c";7132;"CA";"Sunnyvale";0;4;2012;4;20;"20120420"
"65.29.223.12";"US";-84.529800;39.195900;"AS10796 Time Warner Cable Internet LLC";"mlab1-lga02";0.036253;650216.798861;"0.004010999";"darwin";"38.106.70.144";"bittorrent";1334883657;623668.387521;-1.000000;"10349cfe-4a13-405a-99be-aabdb52920f3";10796;"OH";"Cincinnati";1;4;2012;4;20;"20120420"
"65.29.223.12";"US";-84.529800;39.195900;"AS10796 Time Warner Cable Internet LLC";"mlab1-lga02";0.035650;5903048.691590;"0.004010999";"darwin";"38.106.70.144";"speedtest";1334883760;626702.446426;0.037070;"a631d0d5-ea06-404a-9e7f-da52f00d5f01";10796;"OH";"Cincinnati";1;4;2012;4;20;"20120420"
"67.221.97.88";"US";-79.884600;37.511500;"AS7795 LUMOS Networks, Inc.";"mlab1-lga02";0.043540;664685.417230;"0.004010999";"win32";"38.106.70.144";"speedtest";1334883822;77580.424603;0.047641;"42c1b031-7197-483c-a071-7a185c69056a";7795;"VA";"Fincastle";1;4;2012;4;20;"20120420"
