"#client_address";"client_country";"lon";"lat";"client_provider";"mlabservername";"connect_time";"download_speed";"neubot_version";"platform";"remote_address";"test_name";"timestamp";"upload_speed";"latency";"uuid";"asnum";"region";"city";"hour";"month";"year";"weekday";"day";"filedate"
"98.203.196.32";"US";-122.200700;47.610400;"AS7922 Comcast Cable Communications, Inc.";"mlab3-dfw01";0.056423;2118141.151315;"0.004010999";"win32";"38.107.216.41";"bittorrent";1337299227;452716.795724;-1.000000;"6088ed56-1172-43ae-beb1-d2ebf6cfaad9";7922;"WA";"Bellevue";0;5;2012;4;18;"20120518"
"75.10.156.188";"US";-81.695400;41.499500;"AS7018 AT&T Services, Inc.";"mlab3-dfw01";0.080129;98448.061763;"0.004011999";"linux2";"38.107.216.41";"bittorrent";1337300223;38370.348697;-1.000000;"30964759-8161-4c6d-a6e8-30a5cac3a624";7018;"OH";"Cleveland";0;5;2012;4;18;"20120518"
"68.40.185.45";"US";-83.740900;42.277600;"AS7922 Comcast Cable Communications, Inc.";"mlab3-dfw01";0.056413;960380.335442;"0.004011999";"darwin";"38.107.216.41";"bittorrent";1337300364;649011.901721;-1.000000;"f77a7853-1ba8-4219-aa2c-2157b5e89023";7922;"MI";"Ann Arbor";0;5;2012;4;18;"20120518"
"24.22.135.177";"US";-122.332100;47.606200;"AS7922 Comcast Cable Communications, Inc.";"mlab3-dfw01";0.056068;1561117.046960;"0.004011999";"linux2";"38.107.216.41";"speedtest";1337300500;427065.188782;0.058992;"04cea472-6610-42db-acd2-c644a3d4447f";7922;"WA";"Seattle";0;5;2012;4;18;"20120518"
"72.223.90.184";"US";-111.822600;33.422300;"AS22773 Cox Communications Inc.";"mlab3-dfw01";0.051464;2163587.839300;"0.004011999";"win32";"38.107.216.41";"speedtest";1337300665;622647.160649;0.055493;"e01ee598-d98e-45fa-b0e6-9f16a4964d60";22773;"AZ";"Mesa";0;5;2012;4;18;"20120518"
"204.80.187.229";"US";-121.315300;44.058200;"AS11080 Yellowknife Wireless Company, LLC";"mlab3-dfw01";0.080817;414503.507234;"0.004010999";"win32";"38.107.216.41";"bittorrent";1337300838;652395.158103;-1.000000;"9d82d0fe-0a01-438f-a7ec-de30d836411f";11080;"OR";"Bend";0;5;2012;4;18;"20120518"
"98.210.154.125";"US";-122.419400;37.774900;"AS7922 Comcast Cable Communications, Inc.";"mlab3-dfw01";0.059958;709066.269879;"0.004011999";"darwin";"38.107.216.41";"speedtest";1337301248;462637.258306;0.072691;"609ea297-c140-457d-b56f-7f0b9c652b89";7922;"CA";"San Francisco";0;5;2012;4;18;"20120518"
"67.161.55.27";"US";-121.809800;37.991200;"AS7922 Comcast Cable Communications, Inc.";"mlab3-dfw01";0.146580;439198.726515;"0.004010999";"win32";"38.107.216.41";"bittorrent";1337301345;424291.106084;-1.000000;"a18c7610-f909-4b43-b7ab-379eca7efbdc";7922;"CA";"Antioch";0;5;2012;4;18;"20120518"
"98.207.87.80";"US";-122.299100;37.409600;"AS7922 Comcast Cable Communications, Inc.";"mlab3-dfw01";0.060606;3125730.087468;"0.004011999";"darwin";"38.107.216.41";"bittorrent";1337301472;248136.223023;-1.000000;"0f7d671c-779f-4f63-8f54-ca28fcc35fd6";7922;"CA";"Redwood City";0;5;2012;4;18;"20120518"
"75.80.99.115";"US";-117.207300;32.859400;"AS20001 Time Warner Cable Internet LLC";"mlab3-dfw01";0.053020;1924497.736830;"0.004011999";"darwin";"38.107.216.41";"speedtest";1337302294;120950.371351;0.055489;"abe3d347-a195-44eb-b41b-413ce5e761fc";20001;"CA";"San Diego";0;5;2012;4;18;"20120518"
