"#client_address";"client_country";"lon";"lat";"client_provider";"mlabservername";"connect_time";"download_speed";"neubot_version";"platform";"remote_address";"test_name";"timestamp";"upload_speed";"latency";"uuid";"asnum";"region";"city";"hour";"month";"year";"weekday";"day";"filedate"
"83.160.172.95";"NL";4.707000;52.022600;"AS3265 XS4ALL Internet BV";"mlab2-ams02";0.018750;440743.144436;"0.004010999";"win32";"72.26.217.96";"bittorrent";1334970009;110976.476108;-1.000000;"e078e51a-f032-4f30-83ee-a782f83c2cc3";3265;"11";"Gouda";3;4;2012;5;21;"20120421"
"80.101.233.154";"NL";4.916700;52.350000;"AS3265 XS4ALL Internet BV";"mlab2-ams02";0.007907;2034275.372850;"0.004010999";"darwin";"72.26.217.96";"speedtest";1334974384;2993137.652670;0.005173;"02960c2f-7906-4ccf-b06b-04f9cd4b368b";3265;"07";"Amsterdam";4;4;2012;5;21;"20120421"
"83.160.172.95";"NL";4.707000;52.022600;"AS3265 XS4ALL Internet BV";"mlab2-ams02";0.020082;433666.544318;"0.004010999";"win32";"72.26.217.96";"speedtest";1334979846;106596.727089;0.022650;"e078e51a-f032-4f30-83ee-a782f83c2cc3";3265;"11";"Gouda";5;4;2012;5;21;"20120421"
"83.160.172.95";"NL";4.707000;52.022600;"AS3265 XS4ALL Internet BV";"mlab2-ams02";0.019303;440745.977935;"0.004010999";"win32";"72.26.217.96";"bittorrent";1334994473;108062.693132;-1.000000;"e078e51a-f032-4f30-83ee-a782f83c2cc3";3265;"11";"Gouda";9;4;2012;5;21;"20120421"
"188.121.234.125";"FR";2.333300;48.866700;"AS44530 Ajova Network";"mlab2-ams02";0.079833;123486.539019;"0.004010999";"darwin";"72.26.217.96";"speedtest";1334997526;49189.478365;0.130129;"affdd276-d617-457c-bd9f-185d039ca24f";44530;"A8";"Paris";10;4;2012;5;21;"20120421"
"83.160.172.95";"NL";4.707000;52.022600;"AS3265 XS4ALL Internet BV";"mlab2-ams02";0.038409;413957.166645;"0.004010999";"win32";"72.26.217.96";"bittorrent";1335000106;103671.195037;-1.000000;"e078e51a-f032-4f30-83ee-a782f83c2cc3";3265;"11";"Gouda";11;4;2012;5;21;"20120421"
"83.160.172.95";"NL";4.707000;52.022600;"AS3265 XS4ALL Internet BV";"mlab2-ams02";0.028850;382033.843090;"0.004010999";"win32";"72.26.217.96";"bittorrent";1335002917;107842.856367;-1.000000;"e078e51a-f032-4f30-83ee-a782f83c2cc3";3265;"11";"Gouda";12;4;2012;5;21;"20120421"
"188.121.234.125";"FR";2.333300;48.866700;"AS44530 Ajova Network";"mlab2-ams02";1.007775;420877.120309;"0.004010999";"darwin";"72.26.217.96";"speedtest";1335003687;97263.705150;0.059272;"affdd276-d617-457c-bd9f-185d039ca24f";44530;"A8";"Paris";12;4;2012;5;21;"20120421"
"83.160.172.95";"NL";4.707000;52.022600;"AS3265 XS4ALL Internet BV";"mlab2-ams02";0.043340;345183.686048;"0.004010999";"win32";"72.26.217.96";"speedtest";1335004322;105196.829017;0.032965;"e078e51a-f032-4f30-83ee-a782f83c2cc3";3265;"11";"Gouda";12;4;2012;5;21;"20120421"
"80.101.233.154";"NL";4.916700;52.350000;"AS3265 XS4ALL Internet BV";"mlab2-ams02";0.006940;1798921.583276;"0.004010999";"darwin";"72.26.217.96";"bittorrent";1335005649;2483882.149879;-1.000000;"02960c2f-7906-4ccf-b06b-04f9cd4b368b";3265;"07";"Amsterdam";12;4;2012;5;21;"20120421"
"83.160.172.95";"NL";4.707000;52.022600;"AS3265 XS4ALL Internet BV";"mlab2-ams02";0.018847;386292.112927;"0.004010999";"win32";"72.26.217.96";"bittorrent";1335011348;106712.798341;-1.000000;"e078e51a-f032-4f30-83ee-a782f83c2cc3";3265;"11";"Gouda";14;4;2012;5;21;"20120421"
"188.121.230.147";"NL";5.750000;52.500000;"AS44530 Ajova Network";"mlab2-ams02";0.044764;228770.946127;"0.004010999";"darwin";"72.26.217.96";"bittorrent";1335011391;46312.641122;-1.000000;"affdd276-d617-457c-bd9f-185d039ca24f";44530;"";"";14;4;2012;5;21;"20120421"
"188.121.230.147";"NL";5.750000;52.500000;"AS44530 Ajova Network";"mlab2-ams02";0.052232;365582.819817;"0.004010999";"darwin";"72.26.217.96";"bittorrent";1335017596;66434.808822;-1.000000;"affdd276-d617-457c-bd9f-185d039ca24f";44530;"";"";16;4;2012;5;21;"20120421"
"83.160.172.95";"NL";4.707000;52.022600;"AS3265 XS4ALL Internet BV";"mlab2-ams02";0.019426;440760.109174;"0.004010999";"win32";"72.26.217.96";"bittorrent";1335028235;107360.280755;-1.000000;"e078e51a-f032-4f30-83ee-a782f83c2cc3";3265;"11";"Gouda";19;4;2012;5;21;"20120421"
"83.160.172.95";"NL";4.707000;52.022600;"AS3265 XS4ALL Internet BV";"mlab2-ams02";0.019820;428377.575089;"0.004010999";"win32";"72.26.217.96";"speedtest";1335035261;107898.661317;0.025251;"e078e51a-f032-4f30-83ee-a782f83c2cc3";3265;"11";"Gouda";21;4;2012;5;21;"20120421"
"95.97.136.81";"NL";4.916700;52.350000;"AS6830 Liberty Global Operations B.V.";"mlab2-ams02";0.014072;7373152.374750;"0.004010999";"darwin";"72.26.217.96";"speedtest";1335035747;740866.326638;0.011637;"93c1e509-d968-431a-a16e-f1f8386faaf0";6830;"07";"Amsterdam";21;4;2012;5;21;"20120421"
