"#client_address";"client_country";"lon";"lat";"client_provider";"mlabservername";"connect_time";"download_speed";"neubot_version";"platform";"remote_address";"test_name";"timestamp";"upload_speed";"latency";"uuid";"asnum";"region";"city";"hour";"month";"year";"weekday";"day";"filedate"
"75.80.99.115";"US";-117.207300;32.859400;"AS20001 Time Warner Cable Internet LLC";"mlab2-sea01";0.047245;2237577.625760;"0.004010999";"darwin";"38.102.0.96";"speedtest";1334277065;119078.716674;0.048855;"abe3d347-a195-44eb-b41b-413ce5e761fc";20001;"CA";"San Diego";0;4;2012;4;13;"20120413"
"67.161.55.27";"US";-121.809800;37.991200;"AS7922 Comcast Cable Communications, Inc.";"mlab2-sea01";0.051655;1915411.818881;"0.004010999";"win32";"38.102.0.96";"bittorrent";1334277329;1611901.530706;-1.000000;"a18c7610-f909-4b43-b7ab-379eca7efbdc";7922;"CA";"Antioch";0;4;2012;4;13;"20120413"
"74.103.162.36";"US";-75.114700;40.427800;"AS701 MCI Communications Services, Inc. d/b/a Verizon Business";"mlab2-sea01";0.095963;664294.329666;"0.004010999";"darwin";"38.102.0.96";"bittorrent";1334277381;643232.427212;-1.000000;"4eec0d76-fa70-4b4c-91f9-8cb1b74b0682";701;"PA";"Pipersville";0;4;2012;4;13;"20120413"
"70.122.244.153";"US";-96.948900;32.814000;"AS11427 Time Warner Cable Internet LLC";"mlab2-sea01";0.088129;2424509.103310;"0.004010999";"win32";"38.102.0.96";"speedtest";1334280139;461259.383716;0.081161;"bab8f612-1f34-46c2-a83e-fbaa7a2f8fa7";11427;"TX";"Irving";1;4;2012;4;13;"20120413"
"99.66.87.110";"US";-97.147000;32.759700;"AS7018 AT&T Services, Inc.";"mlab2-sea01";0.108538;89262.727741;"0.004010999";"win32";"38.102.0.96";"bittorrent";1334281427;58774.327241;-1.000000;"b06b595e-281c-4349-b6df-3dabbf352faf";7018;"TX";"Arlington";1;4;2012;4;13;"20120413"
"99.27.132.203";"US";-122.036300;37.368800;"AS7132 AS for SBIS-AS";"mlab2-sea01";0.036479;234976.263605;"0.004010999";"linux2";"38.102.0.96";"bittorrent";1334281733;57412.366390;-1.000000;"d0271e0a-854f-4f73-b087-7be4c60e4f8c";7132;"CA";"Sunnyvale";1;4;2012;4;13;"20120413"
"67.161.55.27";"US";-121.809800;37.991200;"AS7922 Comcast Cable Communications, Inc.";"mlab2-sea01";0.041301;1739481.500490;"0.004010999";"win32";"38.102.0.96";"speedtest";1334281902;1567444.329510;0.036953;"a18c7610-f909-4b43-b7ab-379eca7efbdc";7922;"CA";"Antioch";1;4;2012;4;13;"20120413"
"65.29.223.12";"US";-84.529800;39.195900;"AS10796 Time Warner Cable Internet LLC";"mlab2-sea01";0.107246;453599.323474;"0.004010999";"darwin";"38.102.0.96";"speedtest";1334281978;625080.320524;0.135492;"10349cfe-4a13-405a-99be-aabdb52920f3";10796;"OH";"Cincinnati";1;4;2012;4;13;"20120413"
"76.21.0.74";"US";-122.104100;37.457600;"AS7922 Comcast Cable Communications, Inc.";"mlab2-sea01";0.031811;1774163.087520;"0.004010999";"darwin";"38.102.0.96";"speedtest";1334282191;262672.342430;0.033767;"0f7d671c-779f-4f63-8f54-ca28fcc35fd6";7922;"CA";"Palo Alto";1;4;2012;4;13;"20120413"
"173.255.163.224";"US";-74.020300;40.688800;"AS13926 Reliablehosting.com";"mlab2-sea01";0.091883;3771373.640454;"0.004010999";"win32";"38.102.0.96";"bittorrent";1334282808;1369943.702236;-1.000000;"a068feaf-c5e9-406e-9517-5ceec5f463b6";13926;"NY";"New York";2;4;2012;4;13;"20120413"
