"#client_address";"client_country";"lon";"lat";"client_provider";"mlabservername";"connect_time";"download_speed";"neubot_version";"platform";"remote_address";"test_name";"timestamp";"upload_speed";"latency";"uuid";"asnum";"region";"city";"hour";"month";"year";"weekday";"day";"filedate"
"129.65.197.94";"US";-120.455300;35.347100;"AS2152 California State University Network";"mlab4-nuq01";0.015333;599978.322455;"0.004010999";"darwin";"64.9.225.186";"speedtest";1332980570;1357317.031900;0.016559;"73423da3-3a82-4da6-82c8-876834de94df";2152;"CA";"San Luis Obispo";0;3;2012;3;29;"20120329"
"70.122.244.153";"US";-96.948900;32.814000;"AS11427 Time Warner Cable Internet LLC";"mlab4-nuq01";0.063683;3434019.865447;"0.004010999";"win32";"64.9.225.186";"bittorrent";1332981773;587288.856100;-1.000000;"bab8f612-1f34-46c2-a83e-fbaa7a2f8fa7";11427;"TX";"Irving";0;3;2012;3;29;"20120329"
"98.214.132.10";"US";-89.589000;40.693600;"AS7922 Comcast Cable Communications, Inc.";"mlab4-nuq01";0.081361;3300485.116630;"0.004010999";"darwin";"64.9.225.186";"speedtest";1332982854;238057.696478;0.088619;"ac008ee9-df9b-425b-a370-34b57dce1b90";7922;"IL";"Peoria";1;3;2012;3;29;"20120329"
"74.103.153.201";"US";-75.129900;40.310100;"AS701 MCI Communications Services, Inc. d/b/a Verizon Business";"mlab4-nuq01";0.093876;1875108.157300;"0.004010999";"darwin";"64.9.225.186";"speedtest";1332982923;657842.752235;0.095133;"4eec0d76-fa70-4b4c-91f9-8cb1b74b0682";701;"PA";"Doylestown";1;3;2012;3;29;"20120329"
"72.181.251.247";"US";-96.771500;32.833900;"AS11427 Time Warner Cable Internet LLC";"mlab4-nuq01";0.061892;2140203.578170;"0.004010999";"darwin";"64.9.225.186";"speedtest";1332987243;214363.809634;0.070816;"ec56ca67-ca5b-4ee7-a615-8743ebac3e8a";11427;"TX";"Dallas";2;3;2012;3;29;"20120329"
"184.76.255.125";"US";-78.898600;35.994000;"AS16586 CLEARWIRE - CLEAR WIRELESS LLC";"mlab4-nuq01";0.151856;41871.757031;"0.004009999";"win32";"64.9.225.186";"speedtest";1332989576;27197.403043;0.275712;"449b0399-3ea2-41e9-9c50-a87846f88004";16586;"NC";"Durham";2;3;2012;3;29;"20120329"
"71.146.17.114";"US";-122.040000;38.249400;"AS7018 AT&T Services, Inc.";"mlab4-nuq01";0.026609;80339.011046;"0.004009999";"darwin";"64.9.225.186";"speedtest";1332989866;40325.921440;0.033417;"6053a574-de6c-4ab0-acb3-36701448d03e";7018;"CA";"Fairfield";2;3;2012;3;29;"20120329"
"96.36.16.135";"US";-97.000000;38.000000;"AS20115 Charter Communications";"mlab4-nuq01";0.079146;789222.675740;"0.004010999";"darwin";"64.9.225.186";"speedtest";1332990662;394946.232435;0.088228;"5acea4ff-2ab8-4f30-a616-293a7915e0b1";20115;"";"";3;3;2012;3;29;"20120329"
"99.173.128.30";"US";-79.055800;35.913200;"AS7018 AT&T Services, Inc.";"mlab4-nuq01";0.103067;867498.959419;"0.004010003";"darwin";"64.9.225.186";"speedtest";1332990683;176875.204575;0.118026;"4b7f2ce0-70b7-4a89-ab11-52e3eb5a4189";7018;"NC";"Chapel Hill";3;3;2012;3;29;"20120329"
"75.80.99.115";"US";-117.207300;32.859400;"AS20001 Time Warner Cable Internet LLC";"mlab4-nuq01";0.022675;1692352.945577;"0.004010999";"darwin";"64.9.225.186";"bittorrent";1332992838;123163.784523;-1.000000;"abe3d347-a195-44eb-b41b-413ce5e761fc";20001;"CA";"San Diego";3;3;2012;3;29;"20120329"
"74.103.153.201";"US";-75.129900;40.310100;"AS701 MCI Communications Services, Inc. d/b/a Verizon Business";"mlab4-nuq01";0.094436;1865205.803965;"0.004010999";"darwin";"64.9.225.186";"bittorrent";1332992993;666630.973427;-1.000000;"4eec0d76-fa70-4b4c-91f9-8cb1b74b0682";701;"PA";"Doylestown";3;3;2012;3;29;"20120329"
