"#client_address";"client_country";"lon";"lat";"client_provider";"mlabservername";"connect_time";"download_speed";"neubot_version";"platform";"remote_address";"test_name";"timestamp";"upload_speed";"latency";"uuid";"asnum";"region";"city";"hour";"month";"year";"weekday";"day";"filedate"
"79.35.123.49";"IT";11.416700;43.233300;"AS3269 Telecom Italia S.p.a.";"mlab2-mil01";0.027193;255276.270740;"0.004010999";"win32";"213.200.99.224";"bittorrent";1336090374;95347.482051;-1.000000;"8f2b4ecf-a700-4d0f-9dc5-4bb0f41e171c";3269;"16";"Monteroni";2;5;2012;4;4;"20120504"
"87.4.67.150";"IT";8.116700;45.566700;"AS3269 Telecom Italia S.p.a.";"mlab2-mil01";0.054608;73575.292805;"0.004011999";"win32";"213.200.99.224";"bittorrent";1336090450;32857.272674;-1.000000;"d8a56420-51dd-4f7f-811c-30fa9ca36858";3269;"12";"Vigliano Biellese";2;5;2012;4;4;"20120504"
"94.34.147.91";"IT";11.250000;43.766700;"AS8612 Tiscali Italia S.P.A.";"mlab2-mil01";0.534825;102315.828892;"0.004011999";"darwin";"213.200.99.224";"bittorrent";1336090695;9692.993565;-1.000000;"a8a2ab27-6236-470f-8b46-b6121b018b6c";8612;"16";"Florence";2;5;2012;4;4;"20120504"
"188.152.58.213";"IT";10.766700;43.883300;"AS44957 Vodafone Omnitel N.V.";"mlab2-mil01";0.047024;66094.162602;"0.004011999";"darwin";"213.200.99.224";"bittorrent";1336091179;29474.196927;-1.000000;"821aa4b7-0495-4899-9210-11d94170a73b";44957;"16";"Montecatini Terme";2;5;2012;4;4;"20120504"
"188.10.102.202";"IT";9.216700;45.550000;"AS3269 Telecom Italia S.p.a.";"mlab2-mil01";0.022808;1017047.577430;"0.004011999";"win32";"213.200.99.224";"speedtest";1336091572;74941.382429;0.027166;"fabd9ec4-04a0-49f7-9afc-39e5f8c565ba";3269;"09";"Cinisello Balsamo";2;5;2012;4;4;"20120504"
"78.12.89.46";"IT";8.950000;44.416700;"AS8612 Tiscali Italia S.P.A.";"mlab2-mil01";0.247667;231965.134498;"0.004011999";"darwin";"213.200.99.224";"speedtest";1336091580;13843.541750;0.128606;"894fe1ee-9250-416a-98be-74dd024aea06";8612;"08";"Genova";2;5;2012;4;4;"20120504"
"130.192.91.213";"IT";7.666700;45.050000;"AS137 GARR Italian academic and research network";"mlab2-mil01";0.013797;10990945.226366;"0.004010999";"linux2";"213.200.99.224";"bittorrent";1336091797;11706200.733216;-1.000000;"cd78793c-1e3b-4944-b4b2-9768fc1cdb97";137;"12";"Torino";2;5;2012;4;4;"20120504"
"87.253.117.30";"IT";7.666700;45.050000;"AS35719 People & Communication S.R.L.";"mlab2-mil01";0.011856;803583.391662;"0.004011999";"darwin";"213.200.99.224";"speedtest";1336091831;54174.792750;0.017045;"60d5ec38-9b55-4e7a-b420-28c886960236";35719;"12";"Torino";2;5;2012;4;4;"20120504"
"79.33.213.68";"IT";12.483300;41.900000;"AS3269 Telecom Italia S.p.a.";"mlab2-mil01";0.047217;976181.145275;"0.004005999";"win32";"213.200.99.224";"speedtest";1336092169;50015.105004;0.052932;"86db4955-c520-4815-a126-53c60deaa577";3269;"07";"Rome";2;5;2012;4;4;"20120504"
"130.192.91.211";"IT";7.666700;45.050000;"AS137 GARR Italian academic and research network";"mlab2-mil01";0.015363;11384974.990500;"0.004011999";"win32";"213.200.99.224";"speedtest";1336092319;21717.178086;0.015808;"cadc2d8d-b4b9-491c-be07-81ba3b638dc9";137;"12";"Torino";2;5;2012;4;4;"20120504"
