"#client_address";"client_country";"lon";"lat";"client_provider";"mlabservername";"connect_time";"download_speed";"neubot_version";"platform";"remote_address";"test_name";"timestamp";"upload_speed";"latency";"uuid";"asnum";"region";"city";"hour";"month";"year";"weekday";"day";"filedate"
"94.242.213.101";"LU";6.166700;49.750000;"AS5577 root SA";"mlab2-ams01";0.053471;518275.875371;"0.004011999";"win32";"213.244.128.161";"speedtest";1337385870;37290.111207;0.059433;"982392e5-7403-45cf-86ce-2ea66ab35020";5577;"";"";2;5;2012;5;19;"20120519"
"94.42.241.0";"PL";20.000000;52.000000;"AS6714 GTS Poland Sp. z o.o.";"mlab2-ams01";0.053791;481080.500597;"0.004011999";"linux2";"213.244.128.161";"speedtest";1337385937;102258.521292;0.058381;"ccd4222f-f1d2-4c23-ad8e-aba50b91c85a";6714;"";"";2;5;2012;5;19;"20120519"
"84.196.3.10";"BE";4.000000;50.833300;"AS6848 Telenet N.V.";"mlab2-ams01";0.012904;6993500.098249;"0.004011999";"win32";"213.244.128.161";"bittorrent";1337386049;408460.515543;-1.000000;"713e0647-3704-4889-973a-32df3da5340a";6848;"";"";2;5;2012;5;19;"20120519"
"188.36.45.34";"HU";20.000000;47.000000;"AS5483 Magyar Telekom Plc.";"mlab2-ams01";0.090862;1262960.491990;"0.004011999";"win32";"213.244.128.161";"speedtest";1337386168;613060.919424;0.055425;"de4f0833-8ae7-4513-8a99-8a8d2dc0a605";5483;"";"";2;5;2012;5;19;"20120519"
"193.85.33.70";"CZ";15.500000;49.750000;"AS5588 GTS Czech s.r.o.";"mlab2-ams01";0.021792;466353.911046;"0.004011999";"win32";"213.244.128.161";"speedtest";1337386263;465089.880607;0.023976;"bc30967e-2971-4cbb-8363-932134d2eed7";5588;"";"";2;5;2012;5;19;"20120519"
"197.0.231.133";"TN";9.000000;34.000000;"AS2609 Tunisia BackBone AS";"mlab2-ams01";0.108451;83777.309694;"0.004011999";"win32";"213.244.128.161";"bittorrent";1337386297;30554.008946;-1.000000;"5ddb3290-8fe4-4869-828c-ccf5f1b49e9c";2609;"";"";1;5;2012;5;19;"20120519"
"109.255.107.238";"IE";-6.689200;53.291400;"AS6830 Liberty Global Operations B.V.";"mlab2-ams01";0.030062;1698478.551710;"0.004011999";"linux2";"213.244.128.161";"speedtest";1337386428;928577.641179;0.028665;"71f9ad5e-3262-4e7d-ad7d-d0a08d5732a7";6830;"12";"Clane";1;5;2012;5;19;"20120519"
"46.7.36.113";"IE";-6.796700;53.181900;"AS6830 Liberty Global Operations B.V.";"mlab2-ams01";0.029940;1188620.238990;"0.004011999";"win32";"213.244.128.161";"speedtest";1337386900;129455.695650;0.030067;"743c0cfe-4bf8-48eb-b7bf-ea68352b35c3";6830;"12";"Newbridge";1;5;2012;5;19;"20120519"
"81.238.199.49";"SE";15.000000;62.000000;"AS3301 TeliaSonera AB";"mlab2-ams01";0.024844;776771.860342;"0.004009999";"win32";"213.244.128.161";"bittorrent";1337386961;736919.454214;-1.000000;"8d75bb3d-0990-4dbe-aec3-8b3f688b1d22";3301;"";"";2;5;2012;5;19;"20120519"
"84.215.146.13";"NO";10.750000;59.916700;"AS41164 GET Norway";"mlab2-ams01";0.035662;1376568.124080;"0.004011999";"linux2";"213.244.128.161";"speedtest";1337387137;990063.696676;0.035631;"e9c4eaf0-7b70-4496-a45d-9725a9abc1c8";41164;"12";"Oslo";2;5;2012;5;19;"20120519"
