"#client_address";"client_country";"lon";"lat";"client_provider";"mlabservername";"connect_time";"download_speed";"neubot_version";"platform";"remote_address";"test_name";"timestamp";"upload_speed";"latency";"uuid";"asnum";"region";"city";"hour";"month";"year";"weekday";"day";"filedate"
"87.12.101.41";"IT";12.833300;42.833300;"AS3269 Telecom Italia S.p.a.";"mlab2-trn01";0.027482;781543.313807;"0.004009999";"win32";"194.116.85.224";"speedtest";1331855971;44180.938474;0.031683;"9b06ec0b-14e1-45a9-879a-73dd9133d113";3269;"";"";0;3;2012;4;16;"20120315"
"80.182.50.210";"IT";12.833300;42.833300;"AS3269 Telecom Italia S.p.a.";"mlab1-mil01";0.039226;561551.523351;"0.004010003";"darwin";"213.200.99.211";"speedtest";1331769610;49422.273293;0.044165;"3c6e71cf-04ea-476f-877b-49549c17a50c";3269;"";"";1;3;2012;3;15;"20120315"
"2.226.8.79";"IT";13.283300;38.083300;"AS12874 Fastweb SpA";"mlab1-mil01";0.052739;561411.778284;"0.004009999";"win32";"213.200.99.211";"bittorrent";1331769879;56799.792007;-1.000000;"1839fa67-9b65-46de-a195-0ddc5fd87828";12874;"15";"Monreale";1;3;2012;3;15;"20120315"
"188.216.148.37";"IT";12.833300;42.833300;"AS30722 Vodafone Omnitel N.V.";"mlab1-mil01";0.069286;789760.675181;"0.004009999";"darwin";"213.200.99.211";"speedtest";1331769913;63609.739018;0.074686;"eb287f52-d429-4a32-aa75-ba1fd1cf87d2";30722;"";"";1;3;2012;3;15;"20120315"
"78.134.113.187";"IT";10.216700;45.700000;"AS35612 NGI Spa";"mlab1-mil01";0.058349;510483.242557;"0.004009999";"darwin";"213.200.99.211";"bittorrent";1331770297;29512.904875;-1.000000;"40b77977-9095-4ac0-82ab-5053c835779f";35612;"09";"Marcheno";1;3;2012;3;15;"20120315"
"188.153.94.245";"IT";11.000000;45.450000;"AS30722 Vodafone Omnitel N.V.";"mlab1-mil01";0.072993;904253.600040;"0.004009999";"linux2";"213.200.99.211";"bittorrent";1331771314;36966.659009;-1.000000;"789a7402-6f6d-4570-9822-576c72737c5c";30722;"20";"Verona";1;3;2012;3;15;"20120315"
"95.252.82.83";"IT";12.050000;43.533300;"AS3269 Telecom Italia S.p.a.";"mlab1-mil01";0.042005;829414.450487;"0.004009999";"win32";"213.200.99.211";"speedtest";1331771420;50452.003316;0.041634;"0a82f1ed-ab1f-4de5-a610-bbae44fec14e";3269;"16";"Anghiari";1;3;2012;3;15;"20120315"
"87.253.117.30";"IT";7.666700;45.050000;"AS35719 People & Communication S.R.L.";"mlab1-mil01";0.012575;853711.654969;"0.004009999";"darwin";"213.200.99.211";"bittorrent";1331771549;53850.731755;-1.000000;"60d5ec38-9b55-4e7a-b420-28c886960236";35719;"12";"Torino";1;3;2012;3;15;"20120315"
"95.240.27.220";"IT";10.250000;45.550000;"AS3269 Telecom Italia S.p.a.";"mlab1-mil01";0.036810;854851.890911;"0.004009999";"win32";"213.200.99.211";"bittorrent";1331771997;88128.711778;-1.000000;"ec2e71be-f555-4dee-b674-bc8e80a61d77";3269;"09";"Brescia";1;3;2012;3;15;"20120315"
"151.51.236.9";"IT";13.780000;45.648600;"AS1267 WIND Telecomunicazioni S.p.A.";"mlab1-mil01";0.021570;788487.142471;"0.004008999";"linux2";"213.200.99.211";"bittorrent";1331772439;53183.809984;-1.000000;"db4c1f00-a6b9-40ad-b36d-a2fad669a491";1267;"06";"Trieste";1;3;2012;3;15;"20120315"
"80.182.50.210";"IT";12.833300;42.833300;"AS3269 Telecom Italia S.p.a.";"mlab1-mil01";0.037928;806002.624251;"0.004010003";"darwin";"213.200.99.211";"speedtest";1331772441;48084.767551;0.044133;"3c6e71cf-04ea-476f-877b-49549c17a50c";3269;"";"";1;3;2012;3;15;"20120315"
"87.11.250.95";"IT";17.282000;40.407600;"AS3269 Telecom Italia S.p.a.";"mlab1-mil01";0.063445;805719.103348;"0.004009999";"win32";"213.200.99.211";"bittorrent";1331773066;48825.950789;-1.000000;"7989d7c5-459e-4910-93c2-ffd113604f5d";3269;"13";"Taranto";1;3;2012;3;15;"20120315"
"93.66.116.63";"IT";12.833300;42.833300;"AS30722 Vodafone Omnitel N.V.";"mlab1-mil01";0.045017;244024.894080;"0.004009999";"darwin";"213.200.99.211";"speedtest";1331773266;61463.979525;0.050148;"e03eb71c-5d1f-41bc-9e20-cd6dfc7634e9";30722;"";"";2;3;2012;3;15;"20120315"
"95.244.166.100";"IT";9.133300;45.083300;"AS3269 Telecom Italia S.p.a.";"mlab1-mil01";3.188847;321125.415681;"0.004009999";"win32";"213.200.99.211";"speedtest";1331773390;873.534822;0.519170;"6cb01856-9933-4988-87fe-32c12ca4ed72";3269;"09";"Bressana Bottarone";2;3;2012;3;15;"20120315"
"95.240.27.220";"IT";10.250000;45.550000;"AS3269 Telecom Italia S.p.a.";"mlab1-mil01";0.036589;812740.730763;"0.004009999";"win32";"213.200.99.211";"speedtest";1331773561;67595.553030;0.040397;"ec2e71be-f555-4dee-b674-bc8e80a61d77";3269;"09";"Brescia";2;3;2012;3;15;"20120315"
"94.143.103.186";"IT";12.833300;42.833300;"AS21101 Sistemi Hardware&Software S.P.A.";"mlab1-mil01";0.038701;694460.716085;"0.004009999";"darwin";"213.200.99.211";"bittorrent";1331773711;628625.635530;-1.000000;"1882087f-613f-42de-851b-c636718c078b";21101;"";"";2;3;2012;3;15;"20120315"
"151.51.236.9";"IT";13.780000;45.648600;"AS1267 WIND Telecomunicazioni S.p.A.";"mlab1-mil01";0.021226;791109.353487;"0.004008999";"linux2";"213.200.99.211";"speedtest";1331774012;53764.282102;0.025255;"db4c1f00-a6b9-40ad-b36d-a2fad669a491";1267;"06";"Trieste";2;3;2012;3;15;"20120315"
"151.64.15.233";"IT";9.183300;45.550000;"AS1267 WIND Telecomunicazioni S.p.A.";"mlab1-mil01";0.024993;648719.084665;"0.004009999";"linux2";"213.200.99.211";"bittorrent";1331774227;53091.748702;-1.000000;"122a0eee-5444-44b6-9181-38ffae82c977";1267;"09";"Cusano Milanino";2;3;2012;3;15;"20120315"
